uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count
at://did:plc:zy4joujgsnkh2mf6kwlnr7ur/app.bsky.feed.post/3lz2vfdyho222,bafyreihuqj22qb5glzubb4lq5lxorupxnxf6mpm5ei4fylnzp3n7g63kay,"Ever claimed unemployment benefits? Curious how this social safety net helps workers and the broader economy during a recession?

Listen in and let me know what you think! #unemployment #recession

youtu.be/PY_duHKuSWs?...",2025-09-17T22:34:23.376Z,dloverstreet.bsky.social,did:plc:zy4joujgsnkh2mf6kwlnr7ur,unemployment,"""unemployment benefits""",search_api,demo_search_test,2025-09-18T14:30:49.126917+00:00,en,Dallin Overstreet,"Football and public policy guy.

PhD Public Admin and Policy @ ASU 2025 🔱

Check me out on Substack!
https://open.substack.com/pub/polimetrics",50,233,14,False,2025-05-14T05:27:09.339Z,https://cdn.bsky.app/img/avatar/plain/did:plc:zy4joujgsnkh2mf6kwlnr7ur/bafkreibv54rtqernmtbri77katqeuq77at6i24n6dwo46aztwberdohg7i@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:zy4joujgsnkh2mf6kwlnr7ur/bafkreif2nzkg6fudie2fmmyfgjbsfiz7gtfigshigwxfxshsk7sbrbhrnm@jpeg,2025-09-18T14:30:49.126735+00:00,127,0.11023622047244094,0.2145922746781116,34.93,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:49.126898+00:00,2025-09-17T22:34:25.103Z,0.0,0.0,0.0
at://did:plc:5y6ekvi4pv6vrp537xauxmsn/app.bsky.feed.post/3lz33ml2rv22i,bafyreieyayy2mmd5egz2ikscfduasjd4dz63dr6wutawhrinft7kgpzqlm,Top 3 insults for dead guys to maximize your unemployment benefits,2025-09-18T00:25:48.124Z,swamplizard.bsky.social,did:plc:5y6ekvi4pv6vrp537xauxmsn,unemployment,"""unemployment benefits""",search_api,demo_search_test,2025-09-18T14:30:48.965931+00:00,en,SwampLizard,,3637,1095,12883,False,2023-05-30T22:12:05.901Z,https://cdn.bsky.app/img/avatar/plain/did:plc:5y6ekvi4pv6vrp537xauxmsn/bafkreiafidtgdt7k6tzubrcizab2womxxikbckm2snzgwz4ahcryq2o4o4@jpeg,,2025-09-18T14:30:48.965740+00:00,841,15.318668252080856,3.321461187214612,37.02,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:48.965913+00:00,2025-09-18T00:25:48.507Z,0.0,0.0,3.0
at://did:plc:ypw53bqbtueovhwdqyhlmxw5/app.bsky.feed.post/3lz3cb35ego2l,bafyreiaswg2czd57tfsmj6xnh6eewemzi6aqneziink6cbew334opy4le4,"Trump's Economic Promises Now Fail as Prices and Unemployment Rise


#Economy #EconomyNews #Recession #Recession2025 #Layoffs #Employment #Unemployment #USEconomy #USNews #TrumpAdministration #MAGA #Trump #DonaldTrump #Economist #Economics #Money #PersonalFinance #MSN #YahooFinance #Inflation #News",2025-09-18T02:24:38.420Z,franknez.bsky.social,did:plc:ypw53bqbtueovhwdqyhlmxw5,unemployment,#unemployment,search_api,demo_search_test,2025-09-18T14:30:39.263898+00:00,en,Frank Nez,"American journalist. Founder of FrankNez Media. Referenced by The Economic Times. As seen in Yahoo Finance, NewsBreak, TheStreet, + more. 📈 Visit https://franknez.com",63,35,540,False,2025-05-30T00:57:55.939Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ypw53bqbtueovhwdqyhlmxw5/bafkreia5xx7devga557aj3o4zawigev5wcfkpb246kxzllmqq7ursx2dhe@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ypw53bqbtueovhwdqyhlmxw5/bafkreiacj4yagljtozkni2gkkvgqylrhkgu6ci7ztgafdryy6ex6io3w5i@jpeg,2025-09-18T14:30:39.263782+00:00,111,4.864864864864865,1.8,18.65,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:39.263889+00:00,2025-09-18T02:24:39.405Z,0.0,0.0,1.0
at://did:plc:pwhfpk2oeom3im4yiojfgybb/app.bsky.feed.post/3lz3ilboq2c2v,bafyreiau44rjlkqvgbwvjr2kv44ktcd6j67eikmmuu27hc42pqsx43o5ge,"Read Latest Banking, Financial, and Economic Awareness of 14, 15, 16 and 17th September 2025
pendulumedu.com/banking-awar...
#Bankingcurrentaffairs #Bankingnews #latestbanknews #BankingSector #WorldBank #SEBI #RBI #ConsumerInflation #wholesalepriceinflation #unemployment #paymentaggregators",2025-09-18T04:17:43.360Z,exambook.bsky.social,did:plc:pwhfpk2oeom3im4yiojfgybb,unemployment,#unemployment,search_api,demo_search_test,2025-09-18T14:30:39.100456+00:00,en,Exam Book,"Prepare for UPSC, SSC, Banking and other Govt Exams",18,1,58,False,2025-04-19T12:11:41.773Z,https://cdn.bsky.app/img/avatar/plain/did:plc:pwhfpk2oeom3im4yiojfgybb/bafkreidkcbu25euehjterjjbxyquxxlujsnjzz4m2egio46b7h5frun244@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:pwhfpk2oeom3im4yiojfgybb/bafkreieepnjapr7kkb4dzylolk6pmvkcgog2dz2d3tlc7y3j5yfonrqzim@jpeg,2025-09-18T14:30:39.100295+00:00,152,0.3815789473684211,18.0,14.34,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:39.100438+00:00,2025-09-18T04:18:04.704Z,0.0,0.0,0.0
at://did:plc:qyplxeo7t45fzpypryc5auy6/app.bsky.feed.post/3lz3nvr7nxk2b,bafyreic5ghkktbioelwmkxwbalgikbpdkn7kgnzzmds5nnfihkss3e4atm,"Swedish unemployment stay at historically extremely high levels. After three years of trying to bring down unemployment by being nasty to immigrants and cutting unemployment benefits to encourage people the government has now decided more of the same is needed
www.scb.se/hitta-statis...",2025-09-18T05:53:03.917Z,groda.eu,did:plc:qyplxeo7t45fzpypryc5auy6,unemployment,"""unemployment benefits""",search_api,demo_search_test,2025-09-18T14:30:48.808545+00:00,en,Grodaeu,So much for the tolerant left,1470,225,15747,False,2023-07-03T06:31:02.401Z,https://cdn.bsky.app/img/avatar/plain/did:plc:qyplxeo7t45fzpypryc5auy6/bafkreibtzqwuto5lxfkhoecvmy4u7hy6axtcnusosuum2molna6pzfuwvu@jpeg,,2025-09-18T14:30:48.808347+00:00,808,19.488861386138613,6.533333333333333,32.14,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:48.808527+00:00,2025-09-18T05:53:07.707Z,0.0,0.0,1.0
at://did:plc:srb365r2zbulalrektlch35u/app.bsky.feed.post/3lz3ucecqjk2e,bafyreibzld2n35b55zlpv3ut2ess5g4efn4py2cokdeha3cdhchturxfua,I think thus it what they call unemployment benefits... at least for us. 🥵🔥,2025-09-18T07:47:29.047Z,hungryjoe.bsky.social,did:plc:srb365r2zbulalrektlch35u,unemployment,"""unemployment benefits""",search_api,demo_search_test,2025-09-18T14:30:48.585957+00:00,en,Hungry Joe,"Nude selfie purveyor, erring on the arty. Shower pervert, formerly of kinky twitter. ""Sexy, soapy flamingo"".

""All the variety, all the charm, all the beauty of life is made up of light and shadow""

He/him. Old enough to know better.",949,416,5806,False,2023-10-13T12:17:18.043Z,https://cdn.bsky.app/img/avatar/plain/did:plc:srb365r2zbulalrektlch35u/bafkreicsahx2bewwulrl5aly54cnpcummpsl5rwsmfzlwdjpfsqqck6r34@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:srb365r2zbulalrektlch35u/bafkreih3e6hqv6654pvem5keouista73lebwd6q47lk2ib4wenc5gfqkiu@jpeg,2025-09-18T14:30:48.585830+00:00,706,8.223796033994335,2.28125,30.59,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:48.585942+00:00,2025-09-18T07:47:29.305Z,0.0,0.0,0.0
at://did:plc:ob3lvrguhpdb3ltucncxlwwo/app.bsky.feed.post/3lz46qpevas26,bafyreid6ljdd6r3uwon6p2eicbkdli5pve3v253f2l7muw5tffwbe5nbsa,"Why Jimmy Kimmel was fired. 

www.instagram.com/reel/DOui_Th...",2025-09-18T10:54:27.827Z,paulwalker44.bsky.social,did:plc:ob3lvrguhpdb3ltucncxlwwo,unemployment,,,session_20250918_065442,2025-09-18T10:55:19.733425+00:00,en,💢Marx was right.🕊,"“The goal of Marxism is not to predict the future, but to understand and change the world.” -AG 

Mutual Aid, i feed the homeless. 

Listen to Fred : https://youtu.be/tF7_2VckKNQ?si=WruDzLJjKbNB9H3e
Read theory : https://www.marxists.org

🇵🇸✌🏼BA History",21974,26539,57902,False,2024-01-04T01:35:32.015Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ob3lvrguhpdb3ltucncxlwwo/bafkreict2wmd2s3prla3hhkea3mxxkacxe6yb7cnx7qoal7jkggyhmxzie@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ob3lvrguhpdb3ltucncxlwwo/bafkreibmhzbst5ruwzvls54iyqdpybb7dxhzrzsuucu5upjpqjnfmixazq@jpeg,2025-09-18T10:55:19.733337+00:00,623,92.9406099518459,0.827988997324692,45.32,6,63,0,0,0,[],[],[],True,False,True,0,False,2025-09-18T10:55:19.733404+00:00,,,,
at://did:plc:7p2pzwjl6x7xa6mzxtnqyhy5/app.bsky.feed.post/3lz46rphtkk23,bafyreihxw5fsrmxtzcrvf3y4vkpd4nbe7guei5wqnw6bwhc2ofyt7wmlt4,"@msnbc.com covered the story about ABC stopping the Jimmy Kimmel show.

Yes ... the network that fired Matthew Dowd for his comments about Kirk's shooter is being critical of another network that fired someone for comments made about Kirk's shooter.  

Hypocrisy knows no bounds.",2025-09-18T10:55:01.482Z,jimsamuel.com,did:plc:7p2pzwjl6x7xa6mzxtnqyhy5,unemployment,,,session_20250918_065442,2025-09-18T10:55:15.475508+00:00,en,Jim Samuel,"
",1061,208,5518,False,2024-11-11T00:13:13.081Z,https://cdn.bsky.app/img/avatar/plain/did:plc:7p2pzwjl6x7xa6mzxtnqyhy5/bafkreib2u7hqfug47mx74ntylwdqm2o4koyikarypejtceg6pzje5carbi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:7p2pzwjl6x7xa6mzxtnqyhy5/bafkreiaykvbrq666wlpwcxtukpheolnscdzhossqtjf62fzq7ryj26u7e4@jpeg,2025-09-18T10:55:15.475396+00:00,311,17.742765273311896,5.100961538461538,31.22,44,279,0,1,0,[],['@msnbc.com'],[],False,False,False,0,False,2025-09-18T10:55:15.475482+00:00,,,,
at://did:plc:ewifwsmj7uqgbtajlqdaq2hd/app.bsky.feed.post/3lz46spb77s2d,bafyreifvc2kxalh74ukoijxewelr4s7p54fvktfuzliyjnlf3gzhvmh22e,"So, in order to get an illegal monopoly approved by the FCC, ABC fired Jimmy Kimmel?",2025-09-18T10:55:34.820Z,thethew.bsky.social,did:plc:ewifwsmj7uqgbtajlqdaq2hd,unemployment,,,session_20250918_065442,2025-09-18T10:56:04.339199+00:00,en,GayGuy,"Standing up for my community.

Not all gay people are the same, nor do they think the same. Think for yourself.

MASSIVELY anti-Amazon

-Influencer is a curse word.",452,306,7629,False,2024-01-04T16:03:04.054Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ewifwsmj7uqgbtajlqdaq2hd/bafkreifjovtmjbjfzg4ggra6mu2jdfhgb3dbdpntc32f4qa4pr7zq5qwrq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ewifwsmj7uqgbtajlqdaq2hd/bafkreihsnvfy65azya2kozp5uik5bi2ebdwirxjthpnyhtn6summmxmlay@jpeg,2025-09-18T10:56:04.339009+00:00,622,12.265273311897106,1.477124183006536,26.86,16,84,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T10:56:04.339158+00:00,,,,
at://did:plc:lt53m5tteu7oq3zkvmsmvuun/app.bsky.feed.post/3lz46svnxxc2h,bafyreidaotftvet7mxw7z7mwpcioehpuweim3ltnvm6huca4oq6v6nx27q,"Also:
the American gestapo is demanding to see brown people's papers
Black unemployment is near 8%
Wage increases have stalled
Job growth has stalled
New grads can't find a job
Manufacturing is cratering
Farmers are going bankrupt
Comedians are being canceled
The Epstein Files haven't been released",2025-09-18T10:55:41.529Z,realworldrj.bsky.social,did:plc:lt53m5tteu7oq3zkvmsmvuun,unemployment,,,session_20250918_065442,2025-09-18T10:56:13.875033+00:00,en,*it* is happening here,"I am here primarily to hate on the Giant Orange Shithead, President Stephen Miller von Goebbels, Couchfucker, Elon & the DOGE Nazi Youth, Leonard Leo, MAGA, and Leonard’s corrupt assholes on the supreme court",1446,549,21012,False,2024-11-20T11:51:27.369Z,https://cdn.bsky.app/img/avatar/plain/did:plc:lt53m5tteu7oq3zkvmsmvuun/bafkreigfihpsucppjpck2twjftftfbrwbicdpfzdqaqa6bcilgrkqlx72i@jpeg,,2025-09-18T10:56:13.874821+00:00,301,69.80730897009967,2.633879781420765,31.95,47,299,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T10:56:13.874986+00:00,,,,
at://did:plc:ozdcoyczbgdx62gdntot67rt/app.bsky.feed.post/3lz46t5okvc2n,bafyreidnwpm2mai2b6e4yeybhijpim6w3bamra7jkmaxr2myw3o6m7nnqa,"Until the Supreme Court rules that multi member board are unconstitutional, it is the law of the land that their members can not be fired by the president. He fired a member. That is illegal. If SCOTUS changes the rules for Trump then it will not be illegal. But until then, SCOTUS are allowing it.",2025-09-18T10:55:49.937Z,harywilke.bsky.social,did:plc:ozdcoyczbgdx62gdntot67rt,unemployment,,,session_20250918_065442,2025-09-18T10:56:24.858093+00:00,en,,,243,62,537,False,2024-11-12T15:11:48.212Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ozdcoyczbgdx62gdntot67rt/bafkreifjzijsvv6evg2ivtfa7xui2j3zdauj4rc7duau2lw3h5cgjecyja@jpeg,,2025-09-18T10:56:24.857894+00:00,309,1.7378640776699028,3.9193548387096775,26.14,55,298,0,0,0,[],[],[],False,False,False,0,True,2025-09-18T10:56:24.858049+00:00,,,,
at://did:plc:ggl3xsbrjtolfrqlyfguuhhn/app.bsky.feed.post/3lz46t5xynk2x,bafyreifkqqfui4jgas4hi7j2mgqv7avgdma24vx3vj3ffg7vux4kvtemmq,"you so much as give the most tepid criticism of Kirk on air and you'll be summarily fired. people have lost their jobs for merely reposting Kirk's own words without comment.

but be jokey about the fishermen you drone striked and it's nothing but smiles and glee.",2025-09-18T10:55:50.247Z,mythicalredfox.bsky.social,did:plc:ggl3xsbrjtolfrqlyfguuhhn,unemployment,,,session_20250918_065442,2025-09-18T10:56:24.537467+00:00,en,Mythic 🦊,"Twitch Streamer | Urbanist | Retro Tech Nerd | He/They | 26 | BLM | 🆓 🇵🇸 | 🌹 | 🏳️‍🌈 | 💍/open | From MD🇺🇸, in ON 🇨🇦 | 🔞 | https://msha.ke/mythicalredfox",786,807,813,False,2023-07-13T04:53:24.469Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ggl3xsbrjtolfrqlyfguuhhn/bafkreifk2b3zo4nsys7pdk6iv7vv5ffhqkaykbycmd5rj3wlkogksk5j4e@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ggl3xsbrjtolfrqlyfguuhhn/bafkreicpxee4sgucq7w3uhzokyisvyg3gq2b5jcms3wjohmm3gsrpi2rie@jpeg,2025-09-18T10:56:24.537260+00:00,798,1.018796992481203,0.9739776951672863,33.79,47,263,0,0,0,[],[],[],False,False,False,0,True,2025-09-18T10:56:24.537423+00:00,,,,
at://did:plc:uuamzg2kzizwn3ggoya7pdo5/app.bsky.feed.post/3lz46thihss2z,bafyreidrsrhw3cbuxghcc2qkii76cyobey5e72va2o3nr4rqbtdqcxsbrm,Yesterday was weird Donald Trump really just used his DUI hire cronies to get Jimmy Kimmel fired.,2025-09-18T10:56:00.178Z,keithwhite832.bsky.social,did:plc:uuamzg2kzizwn3ggoya7pdo5,unemployment,,,session_20250918_065442,2025-09-18T10:56:38.353999+00:00,en,Keith White,"HTX Age 43, a huge sports fan, political nerd, Anti Trump, Anti Racist, pro freedom, pro women's rights and pro porn at times. #BLM #BIPOC African American, Native American and Afro Latino. x.com/keithwhite346",24967,74121,8695,False,2025-03-16T14:26:45.944Z,https://cdn.bsky.app/img/avatar/plain/did:plc:uuamzg2kzizwn3ggoya7pdo5/bafkreigjnrptbbnrvku3hhswk7b63x7n3xmpml3uxwjzurzvkwtljp5aiy@jpeg,,2025-09-18T10:56:38.353832+00:00,185,47.0,0.3368411111560826,58.33,17,97,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T10:56:38.353957+00:00,,,,
at://did:plc:glkhstcszb4zvbdykst6nglj/app.bsky.feed.post/3lz46tth4wk2o,bafyreidwkhkxxphwp6cyrmrppy7w77mfuy2ys6hq5t62gvyp33fwvqhdjy,"But you KNOW that that has ZERO relation to why Kimmel was fired, so who's guilty of spreading disinfomation now? That would be you.",2025-09-18T10:56:12.763Z,signfire.bsky.social,did:plc:glkhstcszb4zvbdykst6nglj,unemployment,,,session_20250918_065442,2025-09-18T10:56:57.010187+00:00,en,SignFire - J.D. Terrill,"Writer, Artist, Photographer, News Editor, Graphic Designer, #TrueCrime Stakeholder & podcast connoisseur,  Fentanyl Widower & Single Cat Daddy.

The Category Is: Strictly Dickly

ADHD and Buddhist when I can remember to be.

#AlphaSnowflake",531,482,2019,False,2024-11-13T07:19:12.681Z,https://cdn.bsky.app/img/avatar/plain/did:plc:glkhstcszb4zvbdykst6nglj/bafkreif7xdzhdqsj7jzyqurznrang2foynfqm4gqamhfazqasjspddpgua@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:glkhstcszb4zvbdykst6nglj/bafkreigbyb4bymxmsbj6f65mvrdg44n2f5fq3wilganjx56w7wsrkxv2f4@jpeg,2025-09-18T10:56:57.009990+00:00,309,6.533980582524272,1.1016597510373445,28.57,24,132,0,0,0,[],[],[],False,False,False,0,True,2025-09-18T10:56:57.010143+00:00,,,,
at://did:plc:cmx6tp7hey6g7kpzmlcsigs2/app.bsky.feed.post/3lz46uu6ngs2f,bafyreihy3ikhqptxfi5shi4vg6oico32lc2xqbztbq5osrykb4gnlz2ape,"Forgive me as I've spent this morning painting my landing and stairway, but @mrjamesob.bsky.social has been nailing the descent into authoritarianism in the USA today. He has also repeated the line that when America sneezes we get a cold. A Reform government will get James O'Brien fired.",2025-09-18T10:56:47.086Z,abitpolitical.bsky.social,did:plc:cmx6tp7hey6g7kpzmlcsigs2,unemployment,,,session_20250918_065442,2025-09-18T10:57:39.248780+00:00,en,A Bit Political,"Centre Left, pro-science, LQBTQI friendly, anti-fascist. Views are my own. He/Him.",631,1260,3412,False,2024-11-20T00:14:44.770Z,https://cdn.bsky.app/img/avatar/plain/did:plc:cmx6tp7hey6g7kpzmlcsigs2/bafkreifuy4hghwkxywca5amk7ppbwoc5jp63gsiveq7t47vojuh6yb7lrm@jpeg,,2025-09-18T10:57:39.248636+00:00,302,11.298013245033113,0.5007936507936508,28.93,47,288,0,1,0,[],['@mrjamesob.bsky.social'],[],False,False,False,0,False,2025-09-18T10:57:39.248750+00:00,,,,
at://did:plc:utt3yhkbtvzemxdyd3jjvi57/app.bsky.feed.post/3lz46uugig226,bafyreibm5oxvk7mv4xtt224m6zv2yko3cpsunrhzlxxq5ejxqefdoir6ke,"Ah, putz, é que eu troquei pro neocities depois do meu layoff!
padi.neocities.org!",2025-09-18T10:56:47.345Z,patriciaverso.com.br,did:plc:utt3yhkbtvzemxdyd3jjvi57,unemployment,,,session_20250918_065442,2025-09-18T10:57:37.332110+00:00,en,Padí - Elemental da Luxúria,"Nome provisório
Gênero provisório
Profissão provisória
Existência provisória

""Sou humano e nada do que é humano me é estranho.""

Casamenteira da Vila Azul

https://padi.neocities.org/
https://soundcloud.com/patriciaverso/",532,471,7910,False,2023-07-26T17:23:22.673Z,https://cdn.bsky.app/img/avatar/plain/did:plc:utt3yhkbtvzemxdyd3jjvi57/bafkreigyi7ch4ih62yjtziue3f7ozsf27igg57gkm6hggnm2wa4zm43lki@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:utt3yhkbtvzemxdyd3jjvi57/bafkreifwcqptvu7g576fzvufpvghebivk23hp3gsbm4ehdrtsp2s6gd5du@jpeg,2025-09-18T10:57:37.331888+00:00,784,10.089285714285714,1.129511677282378,27.6,13,82,0,0,0,[],[],[],False,False,False,0,True,2025-09-18T10:57:37.332066+00:00,,,,
at://did:plc:uiig74et5u2hbmg6jm42h5ir/app.bsky.feed.post/3lz46uz6xd22f,bafyreigpz6cge7bvzz3kvdsm4pfw2vyisuhenedpxewxbf4kpqz2sz6gei,"Im here , looking for honest debate 

You are not what I was hoping to run into because you're ignoring some pretty important facts 

Your rhetoric is the reason charlie is dead , 

Almost as hilarious as Jimmy Kimmel getting fired by ABC and blaming Trump and Maga",2025-09-18T10:56:52.338Z,bellyacres.bsky.social,did:plc:uiig74et5u2hbmg6jm42h5ir,unemployment,,,session_20250918_065442,2025-09-18T10:57:42.800397+00:00,en,,"Moderate  ex democrat, LEO and veteran , pro 2a,1a,5a,

I know I have the right to remain  silent but this is a free speech platform  right?......right?",85,33,3770,False,2025-03-17T13:51:57.245Z,https://cdn.bsky.app/img/avatar/plain/did:plc:uiig74et5u2hbmg6jm42h5ir/bafkreibqz4mtu3me37bf2ubjmdiiho7b7lbgrljmpue3442bziwzhs43zy@jpeg,,2025-09-18T10:57:42.800142+00:00,184,20.48913043478261,2.5757575757575757,19.46,48,265,0,0,0,[],[],[],False,False,False,0,True,2025-09-18T10:57:42.800341+00:00,,,,
at://did:plc:xnqobtkkc7ovqjl7us2dtbxi/app.bsky.feed.post/3lz46vrosdc2d,bafyreidmrkeoe2elwctf25dvdwycmtlykdc2wozmntu54zctd4vnmbkm5u,"A fatal flaw of authoritarians is that because they lack the capacity for empathy, they don’t understand how people work and so keep screwing up their own plans. For instance, getting a guy fired for fairly innocuous criticism of you just draws everyone’s attention to it and makes people defiant.",2025-09-18T10:57:18.026Z,seeyouinnj.bsky.social,did:plc:xnqobtkkc7ovqjl7us2dtbxi,unemployment,,,session_20250918_065442,2025-09-18T10:58:18.138789+00:00,en,Chris Fredda 🩷💜💙,"He/Him 🩷💜💙, Partnered 🏳️‍🌈, Central NJ",6104,1787,11893,False,2023-05-11T23:03:20.546Z,https://cdn.bsky.app/img/avatar/plain/did:plc:xnqobtkkc7ovqjl7us2dtbxi/bafkreihyxqn4xt35nstsdxqv2ht5tysjzr3skq2r7igs7afz4kjaqwdozi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:xnqobtkkc7ovqjl7us2dtbxi/bafkreia4g2tlzgol2bcmk2gvfpoqgxooq2xxnddbiyhe2zkd2yhobsrhzq@jpeg,2025-09-18T10:58:18.138571+00:00,860,13.82906976744186,3.4157806379406828,40.42,50,297,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T10:58:18.138742+00:00,,,,
at://did:plc:xnqobtkkc7ovqjl7us2dtbxi/app.bsky.feed.post/3lz46vrp62c2d,bafyreih32rlyq63avyl2qf4bautojsadevxeqwieh7yzg7ld2anoublrgu,"A fatal flaw of authoritarians is that because they lack the capacity for empathy, they don’t understand how people work and so keep screwing up their own plans. For instance, getting a guy fired for fairly innocuous criticism of you just draws everyone’s attention to it and makes people defiant.",2025-09-18T10:57:18.026Z,seeyouinnj.bsky.social,did:plc:xnqobtkkc7ovqjl7us2dtbxi,unemployment,,,session_20250918_065442,2025-09-18T10:58:18.139840+00:00,en,Chris Fredda 🩷💜💙,"He/Him 🩷💜💙, Partnered 🏳️‍🌈, Central NJ",6104,1787,11893,False,2023-05-11T23:03:20.546Z,https://cdn.bsky.app/img/avatar/plain/did:plc:xnqobtkkc7ovqjl7us2dtbxi/bafkreihyxqn4xt35nstsdxqv2ht5tysjzr3skq2r7igs7afz4kjaqwdozi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:xnqobtkkc7ovqjl7us2dtbxi/bafkreia4g2tlzgol2bcmk2gvfpoqgxooq2xxnddbiyhe2zkd2yhobsrhzq@jpeg,2025-09-18T10:58:18.138571+00:00,860,13.82906976744186,3.4157806379406828,40.42,50,297,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T10:58:18.139822+00:00,,,,
at://did:plc:xnqobtkkc7ovqjl7us2dtbxi/app.bsky.feed.post/3lz46vrp7ys2d,bafyreiglr2srsnxomikielepyjyh2xvke552yhzangfkclbf5prxmuqjcu,"A fatal flaw of authoritarians is that because they lack the capacity for empathy, they don’t understand how people work and so keep screwing up their own plans. For instance, getting a guy fired for fairly innocuous criticism of you just draws everyone’s attention to it and makes people defiant.",2025-09-18T10:57:18.026Z,seeyouinnj.bsky.social,did:plc:xnqobtkkc7ovqjl7us2dtbxi,unemployment,,,session_20250918_065442,2025-09-18T10:58:18.140642+00:00,en,Chris Fredda 🩷💜💙,"He/Him 🩷💜💙, Partnered 🏳️‍🌈, Central NJ",6104,1787,11893,False,2023-05-11T23:03:20.546Z,https://cdn.bsky.app/img/avatar/plain/did:plc:xnqobtkkc7ovqjl7us2dtbxi/bafkreihyxqn4xt35nstsdxqv2ht5tysjzr3skq2r7igs7afz4kjaqwdozi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:xnqobtkkc7ovqjl7us2dtbxi/bafkreia4g2tlzgol2bcmk2gvfpoqgxooq2xxnddbiyhe2zkd2yhobsrhzq@jpeg,2025-09-18T10:58:18.138571+00:00,860,13.82906976744186,3.4157806379406828,40.42,50,297,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T10:58:18.140617+00:00,,,,
at://did:plc:xnqobtkkc7ovqjl7us2dtbxi/app.bsky.feed.post/3lz46vrpay22d,bafyreiafjwfto63hofvhkejnrodcvsgu5ov5supgic5iuf65yrat63qk7a,"A fatal flaw of authoritarians is that because they lack the capacity for empathy, they don’t understand how people work and so keep screwing up their own plans. For instance, getting a guy fired for fairly innocuous criticism of you just draws everyone’s attention to it and makes people defiant.",2025-09-18T10:57:18.026Z,seeyouinnj.bsky.social,did:plc:xnqobtkkc7ovqjl7us2dtbxi,unemployment,,,session_20250918_065442,2025-09-18T10:58:18.141188+00:00,en,Chris Fredda 🩷💜💙,"He/Him 🩷💜💙, Partnered 🏳️‍🌈, Central NJ",6104,1787,11893,False,2023-05-11T23:03:20.546Z,https://cdn.bsky.app/img/avatar/plain/did:plc:xnqobtkkc7ovqjl7us2dtbxi/bafkreihyxqn4xt35nstsdxqv2ht5tysjzr3skq2r7igs7afz4kjaqwdozi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:xnqobtkkc7ovqjl7us2dtbxi/bafkreia4g2tlzgol2bcmk2gvfpoqgxooq2xxnddbiyhe2zkd2yhobsrhzq@jpeg,2025-09-18T10:58:18.138571+00:00,860,13.82906976744186,3.4157806379406828,40.42,50,297,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T10:58:18.141176+00:00,,,,
